goos: linux
goarch: amd64
pkg: github.com/mtgo-labs/mtgo/internal/crypto
cpu: AMD Ryzen 5 7600X 6-Core Processor             
BenchmarkContainerTrackerTrackContainer-12    	 8658038	       223.3 ns/op	     117 B/op	       1 allocs/op
BenchmarkContainerTrackerTrackContainer-12    	 8836999	       220.8 ns/op	     116 B/op	       1 allocs/op
BenchmarkContainerTrackerTrackContainer-12    	 8603589	       220.5 ns/op	     118 B/op	       1 allocs/op
BenchmarkContainerTrackerAckChild-12          	281174223	         4.283 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerTrackerAckChild-12          	280104276	         4.251 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerTrackerAckChild-12          	281467213	         4.251 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerTrackerAckChild-12          	283493967	         4.234 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerTrackerAckChild-12          	284270458	         4.230 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerTrackerAckChild-12          	284871082	         4.247 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerTrackerAckChild-12          	282214573	         4.230 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerTrackerAckChild-12          	287343856	         4.184 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerTrackerAckChild-12          	283542531	         4.211 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerTrackerAckChild-12          	283934161	         4.194 ns/op	       0 B/op	       0 allocs/op
BenchmarkPendingRegisterResolve-12            	 9398984	       130.1 ns/op	     288 B/op	       2 allocs/op
BenchmarkPendingRegisterResolve-12            	 8637744	       135.9 ns/op	     288 B/op	       2 allocs/op
BenchmarkPendingRegisterResolve-12            	 9463544	       128.8 ns/op	     288 B/op	       2 allocs/op
BenchmarkPendingRegisterResolve-12            	 9269676	       129.8 ns/op	     288 B/op	       2 allocs/op
BenchmarkPendingRegisterResolve-12            	 9408614	       130.2 ns/op	     288 B/op	       2 allocs/op
BenchmarkPendingRegisterResolve-12            	 9282540	       130.0 ns/op	     288 B/op	       2 allocs/op
BenchmarkPendingRegisterResolve-12            	 9027379	       130.3 ns/op	     288 B/op	       2 allocs/op
BenchmarkPendingRegisterResolve-12            	 9079276	       130.3 ns/op	     288 B/op	       2 allocs/op
BenchmarkPendingRegisterResolve-12            	 9305499	       130.2 ns/op	     288 B/op	       2 allocs/op
BenchmarkPendingRegisterResolve-12            	 9331704	       131.1 ns/op	     288 B/op	       2 allocs/op
BenchmarkPendingRegisterCancel-12             	10384258	       116.4 ns/op	     288 B/op	       2 allocs/op
BenchmarkPendingRegisterCancel-12             	10548238	       113.2 ns/op	     288 B/op	       2 allocs/op
BenchmarkPendingRegisterCancel-12             	10482942	       113.4 ns/op	     288 B/op	       2 allocs/op
BenchmarkPendingRegisterCancel-12             	10516459	       113.0 ns/op	     288 B/op	       2 allocs/op
BenchmarkPendingRegisterCancel-12             	10479307	       114.2 ns/op	     288 B/op	       2 allocs/op
BenchmarkPendingRegisterCancel-12             	 9903429	       118.2 ns/op	     288 B/op	       2 allocs/op
BenchmarkPendingRegisterCancel-12             	10734295	       113.0 ns/op	     288 B/op	       2 allocs/op
BenchmarkPendingRegisterCancel-12             	10533374	       113.0 ns/op	     288 B/op	       2 allocs/op
BenchmarkPendingRegisterCancel-12             	10589512	       112.7 ns/op	     288 B/op	       2 allocs/op
BenchmarkPendingRegisterCancel-12             	10320104	       113.7 ns/op	     288 B/op	       2 allocs/op
BenchmarkSaltManagerLoad-12                   	268462404	         4.489 ns/op	       0 B/op	       0 allocs/op
